LoadType,Condition,Vrms,Irms,RealPower,PF
Fan,Moderate,223.1,0.3998,58.62,0.657
Fan,Moderate,224.6,0.4024,59.88,0.663
Fan,Moderate,223.8,0.4048,60.53,0.667
Fan,Moderate,224.9,0.4069,61.31,0.671
Fan,Moderate,222.7,0.4032,59.14,0.658
Fan,Moderate,223.5,0.4051,60.09,0.664
Fan,Moderate,224.1,0.4074,61.08,0.67
Fan,Moderate,223,0.404,59.55,0.66
Fan,Severe,223.4,0.4278,64.21,0.672
Fan,Severe,224.2,0.431,65.58,0.68
Fan,Severe,222.8,0.4335,66.41,0.687
Fan,Severe,223.9,0.4369,67.66,0.694
Fan,Severe,224.7,0.4391,68.55,0.697
Fan,Severe,223.1,0.4342,66.92,0.69
Fan,Severe,224,0.4375,67.98,0.695
Fan,Severe,222.6,0.4328,66.14,0.685
Incandescent,Healthy,229.7,0.4249,95.84,0.982
Incandescent,Healthy,230.1,0.425,96.11,0.983
Incandescent,Healthy,231.3,0.4248,97.02,0.988
Incandescent,Healthy,230.8,0.4252,96.52,0.985
Incandescent,Healthy,229.5,0.4253,95.28,0.978
Incandescent,Healthy,232,0.4247,98.12,0.997
Incandescent,Healthy,231.6,0.4251,97.46,0.991
Incandescent,Healthy,230.2,0.4249,95.92,0.985
Incandescent,Healthy,229.9,0.4254,95.61,0.98
Incandescent,Healthy,231.1,0.425,96.88,0.989
Incandescent,Healthy,232.3,0.4248,98.44,0.999
Incandescent,Healthy,230.4,0.4252,96.31,0.984
Incandescent,Healthy,229.6,0.425,95.18,0.977
Incandescent,Healthy,231.8,0.4247,97.95,0.997
Incandescent,Healthy,230.7,0.4253,96.73,0.986
Incandescent,Mild,230.2,0.4268,94.92,0.965
Incandescent,Mild,231,0.4272,95.44,0.968
Incandescent,Mild,229.4,0.4265,93.98,0.957
Incandescent,Mild,232.1,0.427,96.08,0.972
Incandescent,Mild,230.8,0.4269,95.63,0.97
Incandescent,Mild,229.9,0.4276,94.36,0.959
Incandescent,Mild,231.5,0.4271,95.81,0.971
Incandescent,Mild,230.1,0.4267,94.72,0.964
Incandescent,Mild,229.7,0.4278,94.05,0.954
Incandescent,Mild,231.2,0.4273,95.66,0.968
Incandescent,Moderate,230,0.4302,91.76,0.926
Incandescent,Moderate,231.4,0.4311,92.54,0.929
Incandescent,Moderate,229.8,0.4308,90.88,0.917
Incandescent,Moderate,232,0.4315,93.14,0.933
Incandescent,Moderate,230.6,0.4309,91.92,0.925
Incandescent,Moderate,229.5,0.4318,90.51,0.912
Incandescent,Moderate,231.7,0.4312,92.81,0.931
Incandescent,Moderate,230.2,0.4306,91.31,0.921
Incandescent,Severe,229.4,0.4359,87.04,0.869
Incandescent,Severe,231.2,0.4368,88.22,0.873
Incandescent,Severe,230,0.4361,87.36,0.868
Incandescent,Severe,232.1,0.4375,88.71,0.875
Incandescent,Severe,229.8,0.4369,86.92,0.862
Incandescent,Severe,231.5,0.438,88.34,0.871
LED,Healthy,229.4,0.0401,6.88,0.746
LED,Healthy,230.7,0.0402,7.11,0.766
LED,Healthy,231.2,0.0401,7.18,0.773
LED,Healthy,228.8,0.04,6.82,0.745
LED,Healthy,232,0.0402,7.24,0.776
LED,Healthy,229.1,0.0401,6.95,0.756
LED,Healthy,230.5,0.0402,7.08,0.764
LED,Healthy,233.1,0.0402,7.33,0.781
LED,Healthy,227.9,0.0403,6.91,0.754
LED,Healthy,231.4,0.0402,7.15,0.769
LED,Healthy,230.2,0.0401,6.74,0.729
LED,Healthy,232.4,0.0403,7.29,0.776
LED,Healthy,229.7,0.0402,7.03,0.76
LED,Healthy,230.8,0.04,7.17,0.777
LED,Healthy,231.6,0.0401,7.06,0.759
LED,Mild,229.8,0.0411,7.22,0.762
LED,Mild,231,0.0413,7.41,0.775
LED,Mild,230.2,0.0415,7.34,0.768
LED,Mild,232.1,0.0412,7.58,0.793
LED,Mild,228.9,0.0414,7.08,0.747
LED,Mild,230.7,0.0416,7.49,0.781
LED,Mild,231.8,0.0415,7.63,0.795
LED,Mild,229.6,0.0413,7.18,0.756
LED,Mild,230.4,0.0417,7.52,0.783
LED,Mild,232.3,0.0414,7.66,0.796
LED,Moderate,229.5,0.0428,7.96,0.81
LED,Moderate,231.2,0.0431,8.22,0.824
LED,Moderate,230.1,0.043,8.04,0.812
LED,Moderate,232.4,0.0434,8.41,0.834
LED,Moderate,228.7,0.0429,7.81,0.795
LED,Moderate,231,0.0432,8.28,0.83
LED,Moderate,230.6,0.0435,8.37,0.834
LED,Moderate,229.4,0.0431,7.99,0.806
LED,Severe,229.9,0.0455,8.74,0.836
LED,Severe,231.6,0.0462,9.05,0.847
LED,Severe,230.8,0.046,8.92,0.841
LED,Severe,232.7,0.0465,9.28,0.857
LED,Severe,228.8,0.0457,8.53,0.817
LED,Severe,231.1,0.0463,9.11,0.85
LED,Severe,230.2,0.0461,8.96,0.844
LED,Severe,232,0.0466,9.32,0.861
Fan,Healthy,223.1,0.3698,52.44,0.636
Fan,Healthy,224,0.3705,52.98,0.638
Fan,Healthy,222.6,0.3692,52.18,0.635
Fan,Healthy,223.8,0.3701,52.91,0.639
Fan,Healthy,221.9,0.3695,51.82,0.632
Fan,Healthy,224.4,0.3699,53.16,0.642
Fan,Healthy,223,0.3706,52.63,0.637
Fan,Healthy,222.7,0.3694,52.02,0.633
Fan,Healthy,223.5,0.3708,52.96,0.639
Fan,Healthy,222.2,0.3698,52.11,0.634
Fan,Healthy,224.1,0.3702,53.04,0.64
Fan,Healthy,223.3,0.3697,52.56,0.637
Fan,Healthy,221.8,0.3704,51.96,0.631
Fan,Healthy,223.9,0.37,53.01,0.639
Fan,Healthy,222.5,0.3696,52.34,0.636
Fan,Mild,223.4,0.3828,55.36,0.646
Fan,Mild,224.2,0.3835,55.88,0.649
Fan,Mild,222.9,0.3841,56.02,0.653
Fan,Mild,223.8,0.3848,56.43,0.655
Fan,Mild,224.5,0.3852,56.94,0.658
Fan,Mild,222.7,0.3839,55.61,0.65
Fan,Mild,223.6,0.3846,56.21,0.654
Fan,Mild,224.1,0.385,56.72,0.657
Fan,Mild,223,0.3834,55.48,0.648
Fan,Mild,222.5,0.3829,55.22,0.647
Fan,Moderate,223.1,0.3998,58.62,0.657
Fan,Moderate,224.6,0.4024,59.88,0.663
Fan,Moderate,223.8,0.4048,60.53,0.667
Fan,Moderate,224.9,0.4069,61.31,0.671
