LoadType,Condition,Vrms,Irms,RealPower,PF
Fan,Healthy,238.9,0.3762,56.59,0.63
Fan,Healthy,240.5,0.3763,57.01,0.63
Fan,Healthy,222.9,0.3705,52.43,0.635
Fan,Healthy,223.2,0.3708,53,0.641
Fan,Healthy,223.2,0.3703,52.76,0.638
Fan,Healthy,223.3,0.3703,52.58,0.636
Fan,Healthy,224,0.3715,53.03,0.637
Fan,Healthy,222.5,0.3703,52.49,0.637
Fan,Healthy,223.4,0.3698,52.55,0.636
Fan,Healthy,223.2,0.3705,52.88,0.639
Fan,Healthy,223,0.3711,52.51,0.635
Fan,Healthy,223.4,0.3702,52.85,0.639
Fan,Healthy,222.8,0.3703,52.28,0.634
Fan,Healthy,223.9,0.371,52.99,0.638
Fan,Healthy,222.5,0.3712,52.94,0.641
Fan,Healthy,221.6,0.3707,51.86,0.631
Fan,Healthy,223.8,0.3698,52.42,0.633
Fan,Healthy,223.6,0.3694,53.38,0.646
Fan,Healthy,222.1,0.3697,52.3,0.637
Fan,Healthy,222.4,0.3699,51.92,0.631
Fan,Healthy,224.8,0.3686,52.87,0.638
Fan,Healthy,222.9,0.3698,52.71,0.639
Fan,Healthy,222.2,0.3694,51.99,0.633
Fan,Healthy,223.8,0.3698,52.62,0.636
Fan,Healthy,222.4,0.3705,52.59,0.638
Fan,Healthy,221.7,0.3697,51.92,0.633
Fan,Healthy,223.5,0.3701,53.12,0.642
Fan,Healthy,222.3,0.3703,52.34,0.636
Fan,Healthy,223.2,0.3696,52.17,0.632
Fan,Healthy,223.1,0.3678,52.31,0.637
Fan,Healthy,222.1,0.3697,52.3,0.637
Fan,Healthy,222.4,0.3699,51.92,0.631
Fan,Healthy,224.8,0.3686,52.87,0.638
Fan,Healthy,222.9,0.3698,52.71,0.639
Fan,Healthy,222.2,0.3694,51.99,0.633
Fan,Healthy,223.8,0.3698,52.62,0.636
Fan,Healthy,222.4,0.3705,52.59,0.638
Fan,Healthy,221.7,0.3697,51.92,0.633
Fan,Healthy,223.5,0.3701,53.12,0.642
Fan,Healthy,222.3,0.3703,52.34,0.636
Fan,Healthy,223.2,0.3696,52.17,0.632
Fan,Healthy,223.1,0.3678,52.31,0.637
Fan,Healthy,222.5,0.3664,51.57,0.633
Fan,Healthy,224,0.3683,52.76,0.64
Fan,Healthy,222.3,0.369,52.01,0.634
Fan,Healthy,222.8,0.3705,52.25,0.633
Fan,Healthy,222.5,0.3715,52.82,0.639
Fan,Healthy,222.9,0.3714,52.65,0.636
Fan,Healthy,222.4,0.3711,52.44,0.635
Fan,Healthy,222.8,0.3721,52.59,0.634
Fan,Healthy,222.1,0.3718,52.64,0.637
Fan,Healthy,222,0.371,52.19,0.634
Fan,Healthy,222.5,0.3712,52.9,0.64
Fan,Healthy,222.4,0.3709,52.42,0.636
Fan,Healthy,222.8,0.3697,52.52,0.638
Fan,Healthy,222.6,0.37,52.32,0.635
Fan,Healthy,222.2,0.3706,52.45,0.637
Fan,Healthy,222.8,0.3705,52.25,0.633
Fan,Healthy,222.5,0.3715,52.82,0.639
Fan,Healthy,222.9,0.3714,52.65,0.636
Fan,Healthy,222.4,0.3711,52.44,0.635
Fan,Healthy,222.8,0.3721,52.59,0.634
Fan,Healthy,222.1,0.3718,52.64,0.637
Fan,Healthy,222,0.371,52.19,0.634
Fan,Healthy,222.5,0.3712,52.9,0.64
Fan,Healthy,222.4,0.3709,52.42,0.636
Fan,Healthy,222.8,0.3697,52.52,0.638
Fan,Healthy,222.6,0.37,52.32,0.635
Fan,Healthy,222.2,0.3706,52.45,0.637
Fan,Healthy,222.3,0.37,52.15,0.634
Fan,Healthy,222.6,0.3711,52.91,0.64
Fan,Healthy,222.7,0.3711,52.58,0.636
Fan,Healthy,222.7,0.3703,52.51,0.637
Fan,Healthy,222.9,0.3701,52.48,0.636
Fan,Healthy,222.4,0.3717,52.68,0.637
Fan,Healthy,222.4,0.3708,52.43,0.636
Fan,Healthy,223,0.3715,52.87,0.638
Fan,Healthy,223.1,0.3706,52.69,0.637
Fan,Healthy,222.9,0.3698,52.28,0.634
Fan,Healthy,223.6,0.3708,52.87,0.638
Fan,Healthy,222.3,0.37,52.21,0.635
Fan,Healthy,222.8,0.3696,51.98,0.631
Fan,Healthy,223.9,0.3689,53.36,0.646
Fan,Healthy,222.7,0.3692,52.58,0.64
Fan,Healthy,222.7,0.3703,52.51,0.637
Fan,Healthy,222.9,0.3701,52.48,0.636
Fan,Healthy,222.4,0.3717,52.68,0.637
Fan,Healthy,222.4,0.3708,52.43,0.636
Fan,Healthy,223,0.3715,52.87,0.638
Fan,Healthy,223.1,0.3706,52.69,0.637
Fan,Healthy,222.9,0.3698,52.28,0.634
Fan,Healthy,223.6,0.3708,52.87,0.638
Fan,Healthy,222.3,0.37,52.21,0.635
Fan,Healthy,222.8,0.3696,51.98,0.631
Fan,Healthy,223.9,0.3689,53.36,0.646
Fan,Healthy,222.7,0.3692,52.58,0.64
Fan,Healthy,222.1,0.3696,52,0.633
Fan,Healthy,223.4,0.3702,52.29,0.632
Fan,Healthy,224.6,0.3688,53.21,0.642
Fan,Healthy,223.4,0.3696,52.79,0.639
Fan,Healthy,222.8,0.3685,51.96,0.633
Fan,Healthy,224,0.369,52.38,0.634
Fan,Healthy,223.5,0.3692,52.89,0.641
Fan,Healthy,222.3,0.369,51.94,0.633
Fan,Healthy,224.1,0.3694,52.82,0.638
Fan,Healthy,223.7,0.3697,53.01,0.641
Fan,Healthy,223.9,0.3693,52.67,0.637
Fan,Healthy,223.6,0.3682,52.49,0.638
Fan,Healthy,223.7,0.3695,52.8,0.639
Fan,Healthy,222.9,0.3687,52.37,0.637
Fan,Healthy,223.4,0.3681,52.68,0.64
Fan,Healthy,223.6,0.3689,52.8,0.64
Fan,Healthy,222.4,0.3675,52.14,0.638
Fan,Healthy,219.8,0.3682,51.43,0.635
Fan,Healthy,219.7,0.3678,51.67,0.64
Fan,Healthy,220.4,0.3689,52.03,0.64
Fan,Healthy,219.7,0.3694,51.31,0.632
Fan,Healthy,217.8,0.3696,50.73,0.63
Fan,Healthy,219.3,0.3683,51.43,0.637
Fan,Healthy,217.4,0.369,51.94,0.647
Fan,Healthy,216.5,0.3695,51.78,0.647
Fan,Healthy,215.1,0.3699,51.07,0.642
Fan,Healthy,215.2,0.3703,50.99,0.64
Fan,Healthy,218.3,0.3695,51.31,0.636
Fan,Healthy,217.8,0.3691,52.36,0.651
Fan,Healthy,221.2,0.3697,53.18,0.65
Fan,Healthy,221.4,0.3689,53.32,0.653
Fan,Healthy,221.4,0.3683,53.13,0.652
Fan,Healthy,221.1,0.369,52.84,0.648
Fan,Healthy,221.1,0.3686,52.66,0.646
Fan,Healthy,221.1,0.3679,52.81,0.649
Fan,Healthy,222.5,0.3688,53.29,0.65
Fan,Healthy,223.3,0.3684,53.25,0.647
Fan,Healthy,223.1,0.3689,52.66,0.64
Fan,Healthy,222.1,0.3684,52.07,0.636
Fan,Healthy,221.8,0.3689,51.7,0.632
Fan,Healthy,221.9,0.3676,51.72,0.634
Fan,Healthy,222.8,0.3701,52.67,0.639
Fan,Healthy,222.3,0.3693,53.29,0.649
Fan,Healthy,220.1,0.3696,52.38,0.644
Fan,Healthy,219.2,0.3709,51.74,0.636
Fan,Healthy,220.8,0.3708,52.31,0.639
