LoadType,Condition,Vrms,Irms,RealPower,PF,ApparentPower,SP_Ratio,CurrentPerWatt,PF_Drift,Current_Drift,Power_Drift,RollingMean_Power,RollingMean_PF,RollingMean_Current,RollingStd_Power,RollingStd_PF,RollingStd_Current,Target_Next_Power
1,0,231.3,0.4249,97.22,0.989,98.27937,1.010896626208599,0.004370499897140506,0.007000000000000006,-0.0005999999999999894,1.1500000000000057,97.008,0.9882,0.42510000000000003,0.8093948356642086,0.005118593556827062,0.0002915475947422383,97.6
1,0,231.3,0.4255,97.6,0.992,98.41815,1.0083826844262296,0.004359631147540984,0.0030000000000000027,0.0005999999999999894,0.37999999999999545,97.27799999999999,0.9898,0.42519999999999997,0.7127201414299168,0.004711687595754858,0.0003316624790354386,96.76
1,0,230.6,0.425,96.76,0.988,98.005,1.0128668871434476,0.004392310872261265,-0.0040000000000000036,-0.0005000000000000004,-0.8399999999999892,97.05999999999999,0.9885999999999999,0.42514,0.6586729082024635,0.004098780306382776,0.00033615472627937537,96.22
1,0,230.8,0.4248,96.22,0.982,98.04384,1.0189548950322178,0.004414882560798171,-0.006000000000000005,-0.00019999999999997797,-0.5400000000000063,96.774,0.9865999999999999,0.42514,0.6488297157189253,0.004449719092256631,0.00033615472627937537,98.13
1,0,231.1,0.4254,98.13,0.998,98.30994,1.001833690003057,0.004335065729134821,0.016000000000000014,0.0005999999999999894,1.9099999999999966,97.186,0.9898,0.42512,0.7379566382924433,0.005848076606884544,0.0003114482300479017,95.89
1,0,230.0,0.4252,95.89,0.98,97.796,1.019876942329753,0.004434247575346752,-0.018000000000000016,-0.00019999999999997797,-2.239999999999995,96.92,0.9880000000000001,0.42518,0.9358151526876911,0.007348469228348978,0.00028635642126541576,97.11
1,0,231.5,0.4248,97.11,0.988,98.3412,1.012678405931418,0.004374420759962929,0.008000000000000007,-0.00040000000000001146,1.2199999999999989,96.822,0.9872,0.42504,0.8701551585779911,0.007014271166699539,0.00026076809620812435,97.18
1,0,231.1,0.425,97.18,0.99,98.2175,1.0106760650339575,0.004373327845235645,0.0020000000000000018,0.00019999999999997797,0.07000000000000739,96.906,0.9875999999999999,0.42504,0.882853328701823,0.007127411872481641,0.00026076809620812435,96.6
1,0,231.2,0.4256,96.6,0.982,98.39871999999998,1.0186202898550722,0.0044057971014492756,-0.008000000000000007,0.0005999999999999894,-0.5800000000000125,96.982,0.9875999999999999,0.42519999999999997,0.8233893368266856,0.007127411872481641,0.0003162277660167226,98.5
1,0,232.2,0.4252,98.5,0.998,98.73144,1.0023496446700508,0.004316751269035533,0.016000000000000014,-0.00039999999999995595,1.9000000000000057,97.056,0.9875999999999999,0.42516,0.957982254532875,0.007127411872481641,0.00029664793948373677,98.08
1,0,230.4,0.4249,98.08,1.0,97.89696,0.9981337683523656,0.0043321778140293634,0.0020000000000000018,-0.00030000000000002247,-0.4200000000000017,97.494,0.9916,0.4250999999999999,0.7747128500288853,0.007402702209328011,0.0003162277660168005,96.26
1,0,229.5,0.4246,96.26,0.988,97.44569999999999,1.0123176812798669,0.004410970288801163,-0.01200000000000001,-0.00030000000000002247,-1.8199999999999932,97.324,0.9916,0.42506000000000005,0.9528273715631183,0.007402702209328011,0.0003714835124201424,95.53
1,0,230.0,0.4245,95.53,0.979,97.63499999999999,1.0220349628388987,0.004443630273212603,-0.009000000000000008,-9.999999999998899e-05,-0.730000000000004,96.994,0.9894000000000001,0.42496,1.253467191433382,0.009370165420097524,0.0004505552130428223,95.42
1,0,230.4,0.4248,95.42,0.975,97.87392,1.0257170404527352,0.004451896876964997,-0.0040000000000000036,0.00030000000000002247,-0.10999999999999943,96.75800000000001,0.9879999999999999,0.4248,1.4429553007629494,0.011113055385446107,0.0002738612787528793,96.96
1,0,231.7,0.4249,96.96,0.985,98.44932999999999,1.015360251650165,0.004382219471947195,0.010000000000000009,9.999999999998899e-05,1.539999999999992,96.45,0.9853999999999999,0.42474,1.1023157442402338,0.009607288899580086,0.00018165902124638036,98.92
1,0,231.8,0.4253,98.92,1.0,98.58454,0.9966087747674889,0.004299433885968459,0.015000000000000013,0.00040000000000001146,1.960000000000008,96.618,0.9853999999999999,0.42482,1.428572714285102,0.009607288899580086,0.0003114482300481823,97.75
1,0,229.6,0.4254,97.75,1.0,97.67184,0.9992004092071611,0.004351918158567775,0.0,9.999999999998899e-05,-1.1700000000000017,96.916,0.9878,0.42498,1.4893387794588233,0.01169187752245093,0.00037013511046648807,95.79
1,0,230.2,0.4249,95.79,0.979,97.81197999999999,1.0211084664369974,0.004435744858544733,-0.02100000000000002,-0.0005000000000000004,-1.9599999999999937,96.968,0.9878,0.42506000000000005,1.4322953606012607,0.01169187752245093,0.0002701851217221036,98.84
1,0,232.0,0.4247,98.84,1.0,98.5304,0.9968676649129906,0.0042968433832456495,0.02100000000000002,-0.00019999999999997797,3.049999999999997,97.652,0.9928000000000001,0.42504,1.3204809729791158,0.01008464178838247,0.00029664793948382004,98.01
1,0,231.2,0.4252,98.01,0.997,98.30624,1.0030225487195183,0.004338332823181308,-0.0030000000000000027,0.0005000000000000004,-0.8299999999999983,97.86200000000001,0.9952,0.4250999999999999,1.2652549150269534,0.009148770409185525,0.0002915475947421958,96.96
1,0,231.7,0.4249,96.96,0.985,98.44932999999999,1.015360251650165,0.004382219471947195,-0.01200000000000001,-0.00030000000000002247,-1.0500000000000114,97.47,0.9922000000000001,0.42501999999999995,1.1542746640206019,0.009628083921528214,0.0002774887385102471,98.92
1,0,231.8,0.4253,98.92,1.0,98.58454,0.9966087747674889,0.004299433885968459,0.015000000000000013,0.00040000000000001146,1.960000000000008,97.704,0.9922000000000001,0.425,1.3303871616938667,0.009628083921528214,0.00024494897427836533,97.75
1,0,229.6,0.4254,97.75,1.0,97.67184,0.9992004092071611,0.004351918158567775,0.0,9.999999999998899e-05,-1.1700000000000017,98.096,0.9964000000000001,0.42510000000000003,0.8139594584497724,0.006503845016602703,0.0002915475947422164,95.79
1,0,230.2,0.4249,95.79,0.979,97.81197999999999,1.0211084664369974,0.004435744858544733,-0.02100000000000002,-0.0005000000000000004,-1.9599999999999937,97.486,0.9922000000000001,0.42514,1.1783165958263881,0.009628083921528214,0.00023021728866433043,98.84
1,0,232.0,0.4247,98.84,1.0,98.5304,0.9968676649129906,0.0042968433832456495,0.02100000000000002,-0.00019999999999997797,3.049999999999997,97.652,0.9928000000000001,0.42504,1.320480972979115,0.01008464178838247,0.0002966479394838075,98.01
1,0,231.2,0.4252,98.01,0.997,98.30624,1.0030225487195183,0.004338332823181308,-0.0030000000000000027,0.0005000000000000004,-0.8299999999999983,97.862,0.9952,0.42510000000000003,1.2652549150269456,0.009148770409185556,0.0002915475947422088,97.85
1,0,231.4,0.4253,97.85,0.994,98.41442,1.0057682166581503,0.004346448645886561,-0.0030000000000000027,9.999999999998899e-05,-0.1600000000000108,97.648,0.994,0.42510000000000003,1.12419749154669,0.00874642784226735,0.0002915475947422088,97.18
1,0,230.8,0.4248,97.18,0.991,98.04384,1.0088890718254784,0.0043712698086025925,-0.0030000000000000027,-0.0005000000000000004,-0.6699999999999875,97.53399999999999,0.9922000000000001,0.42498,1.1400570161180021,0.00810555365166316,0.00025884358211092525,96.6
1,0,230.6,0.4249,96.6,0.986,97.98194,1.0143057971014493,0.004398550724637682,-0.0050000000000000044,9.999999999998899e-05,-0.5800000000000125,97.696,0.9936,0.42497999999999997,0.8512520190871037,0.005412947441088783,0.00025884358211092525,97.7
1,0,230.6,0.4254,97.7,0.996,98.09724,1.0040659160696008,0.004354145342886387,0.010000000000000009,0.0005000000000000004,1.1000000000000085,97.46799999999999,0.9928000000000001,0.42512,0.5766021158475679,0.004438468204233264,0.000258843582110792,96.36
1,0,230.7,0.4248,96.36,0.983,98.00135999999999,1.0170336239103361,0.004408468244084683,-0.013000000000000012,-0.0005999999999999894,-1.3400000000000034,97.138,0.99,0.42504,0.6556065893506012,0.005431390245599167,0.00028809720581773164,98.92
1,0,232.2,0.4246,98.92,1.0,98.59212,0.9966854023453294,0.004292357460574201,0.017000000000000015,-0.00020000000000003348,2.5600000000000023,97.352,0.9912000000000001,0.42490000000000006,1.0196666121825826,0.0069785385289464355,0.00030000000000007993,97.18
1,0,231.3,0.4251,97.18,0.988,98.32563,1.0117887425396173,0.004374356863552171,-0.01200000000000001,0.0005000000000000004,-1.7399999999999949,97.352,0.9906,0.42496,1.0196666121825826,0.00712741187248147,0.0003049590136395726,96.63
