LoadType,Condition,Vrms,Irms,RealPower,PF,ApparentPower,SP_Ratio,CurrentPerWatt,PF_Drift,Current_Drift,Power_Drift,RollingMean_Power,RollingMean_PF,RollingMean_Current,RollingStd_Power,RollingStd_PF,RollingStd_Current,ActualPower,PredictedPower,PredictionError,HealthScore,HealthStatus,Diagnosis,MaintenanceAlert
0,0,231.0,0.0402,8.37,0.901,9.2862,1.1094623655913978,0.004802867383512545,0.028000000000000025,0.0,0.379999999999999,8.244,0.8894,0.04022,0.19047309521295105,0.016682325976914554,4.472135954937232e-05,8.19,8.169202,0.02079814910888622,95.50730943670425,Healthy,Possible power factor degradation,MAINTENANCE REQUIRED
1,0,231.6,0.4251,97.46,0.991,98.45316,1.010190437102401,0.004361789452082905,-0.006000000000000005,0.00039999999999995595,-0.6600000000000108,96.88,0.9878,0.42502000000000006,1.0704204781297684,0.007049822692801605,0.00025884358211653545,95.92,96.31321,0.39320953369140454,93.76476149404883,Healthy,Normal stable operation,MAINTENANCE REQUIRED
0,0,230.7,0.0402,7.12,0.767,9.27414,1.3025477528089886,0.005646067415730337,0.01100000000000001,0.00010000000000000286,0.15000000000000036,7.078,0.7646,0.040119999999999996,0.19473058311420943,0.014690132742763052,8.366600265340826e-05,7.35,7.0594,0.29059991836547816,97.06428350947712,Healthy,Normal stable operation,MAINTENANCE REQUIRED
2,1,223.4,0.3812,54.91,0.644,85.16008,1.550902932070661,0.006942269167729011,0.0050000000000000044,0.010399999999999965,2.5999999999999943,53.395999999999994,0.6464000000000001,0.37196,0.9408400501676195,0.00482700735445433,0.005217566482565256,55.42,55.97454,0.554540710449217,91.68352754543392,Healthy,Current instability increasing,MAINTENANCE REQUIRED
2,0,222.7,0.3703,52.51,0.637,82.46581,1.5704781946295945,0.007051990097124358,-0.0030000000000000027,0.0011000000000000454,-0.07000000000000028,52.528,0.6378,0.36960000000000004,0.5236124521045522,0.005630275304097862,0.0005700877125262569,52.48,52.22651,0.2534909057617156,96.58587997895529,Healthy,Current instability increasing,MAINTENANCE REQUIRED
0,0,229.2,0.0402,8.12,0.881,9.21384,1.1347093596059115,0.004950738916256158,-0.008000000000000007,0.0,-0.11000000000000121,8.21,0.8862,0.0402,0.11510864433222016,0.010183319694482414,0.0,8.4,8.193652,0.20634784698486364,98.00407103743338,Healthy,Normal stable operation,MAINTENANCE REQUIRED
2,0,219.3,0.3683,51.43,0.637,80.76819,1.5704489597511182,0.007161189966945363,0.007000000000000006,-0.0012999999999999678,0.7000000000000028,51.43399999999999,0.6358,0.36879999999999996,0.48008332609957255,0.004604345773280761,0.0007516648189012426,51.94,52.24619,0.3061891174316429,96.07682148607081,Healthy,Current instability increasing,MAINTENANCE REQUIRED
0,1,232.1,0.0412,7.58,0.793,9.56252,1.26154617414248,0.005435356200527704,0.025000000000000022,-0.00030000000000000165,0.2400000000000002,7.322,0.7714,0.04104,0.196010203816006,0.013538833036859852,0.0005458937625580924,7.08,7.2667503,0.1867503356933593,95.42346742808971,Healthy,Possible power factor degradation,MAINTENANCE REQUIRED
2,0,222.5,0.3712,52.9,0.64,82.592,1.5612854442344046,0.007017013232514177,0.006000000000000005,0.00019999999999997797,0.7100000000000009,52.552,0.636,0.37144000000000005,0.26166772823362094,0.002549509756782113,0.0004827007354178405,52.42,52.3631,0.056901855468751705,97.95010450570649,Healthy,Normal stable operation,MAINTENANCE REQUIRED
2,0,224.1,0.3702,53.04,0.64,82.96181999999999,1.5641368778280542,0.006979638009049774,0.006000000000000005,0.00039999999999995595,0.9299999999999997,52.552,0.6366,0.37016,0.471455194053366,0.0030495901363953343,0.0005727128425233926,52.56,52.363773,0.19622665405273665,96.70969315015445,Healthy,Normal stable operation,MAINTENANCE REQUIRED
1,0,231.1,0.4253,96.58,0.983,98.28683,1.0176727065645061,0.004403603230482502,-0.0050000000000000044,0.0005000000000000004,0.21999999999999886,96.75399999999999,0.9868,0.42510000000000003,0.505252412166328,0.002949576240749279,0.0003240370349203734,96.25,96.54148,0.29148101806640625,96.45714390248325,Healthy,Normal stable operation,MAINTENANCE REQUIRED
0,0,229.9,0.0401,6.86,0.744,9.21899,1.3438760932944604,0.005845481049562682,-0.017000000000000015,9.999999999999593e-05,-0.20999999999999996,6.992,0.7572,0.04006,0.17108477430795607,0.015056560032089085,5.477225575003681e-05,7.11,7.063764,0.046235904693603835,96.94063220772122,Healthy,Normal stable operation,MAINTENANCE REQUIRED
2,0,242.6,0.3754,58.98,0.648,91.07204,1.5441173279077653,0.006364869447270262,0.01200000000000001,-0.00029999999999996696,1.3399999999999963,57.995999999999995,0.6397999999999999,0.3759,1.0216065778957195,0.007395944834836116,0.0008860022573192937,57.27,57.060932,0.209067840576175,93.63153579495665,Healthy,Normal stable operation,MAINTENANCE REQUIRED
2,0,222.6,0.3692,52.18,0.635,82.18391999999999,1.5750080490609426,0.007075507857416634,-0.0030000000000000027,-0.0013000000000000234,-0.7999999999999972,58.65599999999999,0.6596,0.39672,8.40878588144567,0.03197342646636433,0.03685969343334256,52.91,52.933716,0.02371582031250341,64.24477113932431,Moderate Risk,High power fluctuation detected | Current instability increasing,MAINTENANCE REQUIRED
0,0,233.4,0.0402,7.34,0.782,9.38268,1.2782942779291555,0.005476839237057221,0.051000000000000045,0.0,0.5599999999999996,7.064,0.7666000000000001,0.04022,0.2669831455354521,0.02526459973955492,4.472135954939048e-05,7.01,6.9695616,0.04043842315673807,92.14379866609261,Healthy,Possible power factor degradation,MAINTENANCE REQUIRED
0,0,231.9,0.0402,7.16,0.767,9.32238,1.3020083798882682,0.0056145251396648044,-0.0010000000000000009,-0.00010000000000000286,-0.019999999999999574,7.037999999999999,0.7546,0.04024,0.13274034804838017,0.013296616110872107,5.4772255750017115e-05,7.14,6.9553905,0.18460954666137663,98.86978087476989,Healthy,Normal stable operation,MAINTENANCE REQUIRED
0,0,229.8,0.0401,6.97,0.756,9.214979999999999,1.3220918220946913,0.005753228120516499,-0.02200000000000002,-0.00010000000000000286,-0.3100000000000005,7.074,0.7642,0.04012,0.19385561637466175,0.014635573101180532,8.366600265340826e-05,7.12,7.106605,0.01339494705200206,96.26901138401854,Healthy,Possible power factor degradation,MAINTENANCE REQUIRED
2,1,223.8,0.3848,56.43,0.655,86.11824,1.526107389686337,0.00681906787169945,0.0020000000000000018,0.0006999999999999784,0.4099999999999966,55.206,0.6477999999999999,0.38095999999999997,1.6471733363552497,0.007463243262817007,0.006393199511980854,56.94,56.534573,0.40542739868163835,91.78642001376157,Healthy,Moderate load instability observed,MAINTENANCE REQUIRED
